rank,feature,group,mean_abs_shap,pct_of_total,cumulative_pct
148,optic_nerve_int_mean,Optic Nerve,0.0011686216089705,0.23668820777127392,85.49603319696544
149,medial_rectus_asym_right_voxels,Medial Rectus,0.0011624079043972,0.23542970751097994,85.73146290447642
150,optic_nerve_shape_ar_dx_dz,Optic Nerve,0.0011623318664046,0.23541430706309083,85.96687721153951
151,eyeball_int_p90,Eyeball,0.0011599933299135,0.2349406687128863,86.20181788025238
152,fat_int_mean,Fat,0.0011581178780401,0.23456082177246615,86.43637870202485
153,eyeball_tex_homogeneity,Eyeball,0.0011536205863875,0.23364995730366997,86.67002865932852
154,inferior_rectus_int_p10,Inferior Rectus,0.0011374219581662,0.2303691483124429,86.90039780764097
155,superior_rectus_shape_ar_dy_dz,Superior Rectus,0.0011277029995629,0.2284007071373351,87.12879851477831
156,lacrimal_gland_tex_contrast,Lacrimal Gland,0.0011091972109166,0.22465261458585012,87.35345112936416
157,optic_nerve_tex_contrast,Optic Nerve,0.0010959262602883,0.2219647663589116,87.57541589572307
158,muscle_shape_bb_dx_mm,Muscle (generic),0.0010951558045714,0.22180872116737962,87.79722461689046
159,fat_shape_bb_dy_mm,Fat,0.0010852587951728,0.21980421825654115,88.01702883514699
160,ratio_lacrimal_to_fat,Clinical,0.0010669619528456,0.21609844490351063,88.23312728005051
161,lateral_rectus_shape_bb_dy_mm,Lateral Rectus,0.0010629935599117,0.21529470158399044,88.4484219816345
162,superior_rectus_shape_bb_dy_mm,Superior Rectus,0.0010495130868323,0.21256441747099777,88.6609863991055
163,optic_nerve_int_std,Optic Nerve,0.0010483273406881,0.21232426092452622,88.87331066003003
164,inferior_rectus_int_p90,Inferior Rectus,0.0010426761068873,0.21117968137051116,89.08449034140054
165,lacrimal_gland_asym_right_voxels,Lacrimal Gland,0.0010420577609949,0.21105444392844142,89.29554478532899
166,muscle_int_mean,Muscle (generic),0.0010349184275763,0.2096084702971489,89.50515325562614
167,inferior_rectus_shape_ar_dx_dz,Inferior Rectus,0.0010071571246889,0.2039858008416331,89.70913905646776
168,optic_nerve_int_p90,Optic Nerve,0.0009928010316596,0.20107817197047426,89.91021722843824
169,superior_rectus_asym_right_voxels,Superior Rectus,0.0009844273702381,0.1993822022065022,90.10959943064474
170,lacrimal_gland_shape_ar_dx_dz,Lacrimal Gland,0.0009794318334571,0.19837042505085645,90.30796985569559
171,medial_rectus_int_p10,Medial Rectus,0.0009727572096796,0.1970185719554514,90.50498842765104
172,lacrimal_gland_shape_ar_dy_dz,Lacrimal Gland,0.0009619631510631,0.19483238408342657,90.69982081173448
173,muscle_shape_bb_dx,Muscle (generic),0.0009581706461202,0.19406426445342118,90.8938850761879
174,superior_rectus_shape_volume_mm3,Superior Rectus,0.0009579869750817,0.19402706441485582,91.08791214060275
175,inferior_rectus_tex_correlation,Inferior Rectus,0.0009471428227991,0.19183073076086107,91.27974287136362
176,inferior_rectus_shape_ar_dy_dz,Inferior Rectus,0.0009437708576069,0.19114778566393442,91.47089065702755
177,eyeball_shape_ar_dx_dz,Eyeball,0.0009320542672865,0.18877475170423486,91.65966540873178
178,fat_int_p10,Fat,0.0009271480183236,0.18778105856610142,91.84744646729789
179,muscle_int_median,Muscle (generic),0.0009240429726671,0.18715217434400286,92.03459864164189
180,optic_nerve_int_p10,Optic Nerve,0.0009220471998668,0.18674795805740024,92.22134659969929
181,lateral_rectus_tex_contrast,Lateral Rectus,0.0009181489491809,0.18595842108392116,92.40730502078323
182,superior_rectus_int_skewness,Superior Rectus,0.0009122892637608,0.18477162252608106,92.59207664330931
183,fat_int_p90,Fat,0.000911947828667,0.18470246955149855,92.7767791128608
184,optic_nerve_shape_bb_dx_mm,Optic Nerve,0.0009071436197889,0.18372944322682014,92.96050855608762
185,fat_int_std,Fat,0.0008948360808579,0.1812367207670499,93.14174527685466
186,eyeball_int_std,Eyeball,0.0008715887362253,0.17652829137100395,93.31827356822566
187,eyeball_tex_energy,Eyeball,0.0008682139930103,0.17584478362382966,93.4941183518495
188,eyeball_shape_bb_dx,Eyeball,0.0008661903986524,0.17543493246400954,93.6695532843135
189,superior_rectus_int_std,Superior Rectus,0.0008586212799217,0.17390191173854513,93.84345519605203
190,lacrimal_gland_shape_bb_dy,Lacrimal Gland,0.0008379084953756,0.1697068225714983,94.01316201862353
191,muscle_shape_bb_dy,Muscle (generic),0.0008251536296386,0.1671235002296213,94.18028551885315
192,muscle_int_p90,Muscle (generic),0.0008237872807478,0.1668467650848394,94.34713228393798
193,superior_rectus_shape_ar_dx_dz,Superior Rectus,0.0008163302938775,0.16533645512295184,94.51246873906094
194,inferior_rectus_shape_bb_dx_mm,Inferior Rectus,0.0008111550443156,0.16428827961928794,94.67675701868023
195,muscle_int_p10,Muscle (generic),0.0008091034833132,0.16387276420089747,94.84062978288114
196,muscle_tex_contrast,Muscle (generic),0.0008073619566249,0.1635200419617437,95.00414982484287
197,lateral_rectus_int_p90,Lateral Rectus,0.0007850407693335,0.15899919297626017,95.16314901781914
198,optic_nerve_shape_bb_dx,Optic Nerve,0.0007839643270643,0.15878117442388148,95.32193019224302
199,medial_rectus_shape_bb_dz_mm,Medial Rectus,0.0007834064478061,0.15866818366557053,95.48059837590858
200,optic_nerve_int_median,Optic Nerve,0.000777534028292,0.1574788059924178,95.63807718190101
201,lacrimal_gland_shape_bb_dz_mm,Lacrimal Gland,0.0007595308818146,0.15383251668776135,95.79190969858877
202,lacrimal_gland_shape_bb_dx,Lacrimal Gland,0.0007570943425261,0.15333902922104622,95.94524872780981
203,lateral_rectus_int_p10,Lateral Rectus,0.0007448445804375,0.15085800866476076,96.09610673647457
204,medial_rectus_int_mean,Medial Rectus,0.0007389883800366,0.14967191594954943,96.24577865242412
205,medial_rectus_int_std,Medial Rectus,0.0007382184649494,0.1495159802551154,96.39529463267924
206,ratio_sr_to_ir,Clinical,0.0007258373290373,0.14700835174070764,96.54230298441995
207,lacrimal_gland_int_p10,Lacrimal Gland,0.0007116827020502,0.14414152704096672,96.6864445114609
208,lacrimal_gland_shape_ar_dx_dy,Lacrimal Gland,0.0007085794105878,0.14351299810671705,96.82995750956762
209,superior_rectus_int_mean,Superior Rectus,0.000707622823855,0.14331925464208642,96.9732767642097
210,lacrimal_gland_int_mean,Lacrimal Gland,0.0007019811993671,0.14217662132201977,97.11545338553172
211,muscle_shape_bb_dz,Muscle (generic),0.0006840538219414,0.1385456779949781,97.2539990635267
212,inferior_rectus_int_median,Inferior Rectus,0.0006785909574784,0.1374392500553271,97.39143831358203
213,lacrimal_gland_int_std,Lacrimal Gland,0.0006583739985397,0.1333445835344831,97.52478289711651
214,medial_rectus_int_p90,Medial Rectus,0.0006576851301587,0.133205062733877,97.65798795985039
215,muscle_shape_bb_dy_mm,Muscle (generic),0.00064292015333,0.13021462008200094,97.78820257993239
216,superior_rectus_int_median,Superior Rectus,0.0006335686687029,0.1283206056983898,97.91652318563078
217,lateral_rectus_int_std,Lateral Rectus,0.0006121638094918,0.12398534634208297,98.04050853197288
218,fat_shape_bb_dy,Fat,0.0006067359220677,0.12288600251981169,98.16339453449268
219,fat_shape_bb_dz,Fat,0.0005786878584362,0.1172052536260421,98.28059978811872
220,inferior_rectus_shape_bb_dz_mm,Inferior Rectus,0.0005671332814575,0.11486503323678114,98.3954648213555
221,lacrimal_gland_int_p90,Lacrimal Gland,0.0005656376683622,0.11456211740814295,98.51002693876364
222,lateral_rectus_int_mean,Lateral Rectus,0.0005533887732254,0.11208127244100126,98.62210821120465
223,superior_rectus_shape_bb_dz_mm,Superior Rectus,0.0005418965527467,0.10975368150178179,98.73186189270643
224,eyeball_shape_bb_dx_mm,Eyeball,0.0005237210041025,0.10607247451328095,98.83793436721972
225,superior_rectus_int_p90,Superior Rectus,0.0005215716406801,0.1056371505620619,98.94357151778178
226,lateral_rectus_int_median,Lateral Rectus,0.0005100125887315,0.10329602382929559,99.04686754161108
227,fat_shape_bb_dz_mm,Fat,0.0004914676687216,0.09954000575919363,99.14640754737027
