feature,mean_abs_shap
fat_shape_bb_dz,0.0005786878584362103
inferior_rectus_shape_bb_dz_mm,0.0005671332814575913
lacrimal_gland_int_p90,0.0005656376683622923
lateral_rectus_int_mean,0.0005533887732254301
superior_rectus_shape_bb_dz_mm,0.0005418965527467524
eyeball_shape_bb_dx_mm,0.0005237210041025952
superior_rectus_int_p90,0.0005215716406801418
lateral_rectus_int_median,0.0005100125887315019
fat_shape_bb_dz_mm,0.0004914676687216807
lacrimal_gland_shape_bb_dx_mm,0.0004555974381292148
medial_rectus_shape_bb_dz,0.0004314902040127714
inferior_rectus_shape_bb_dz,0.0004303842117453473
SmokingIndex,0.00041050212804794506
optic_nerve_shape_bb_dz_mm,0.0003624191204649481
lacrimal_gland_shape_bb_dz,0.0003618099248617866
optic_nerve_shape_bb_dz,0.00033446821193577685
eyeball_shape_bb_dz,0.0003026261627454281
superior_rectus_shape_bb_dz,0.00026703069026626865
LogSmoke,0.0002646962055069728
IsSmoker,0.000203472369128046
eyeball_shape_bb_dz_mm,0.00020222100070315784
Sex_enc,0.00018779979739261623
